SCIENTIFIC_NAME,SPECIES_CODE,GROUP_CODE,START_YEAR,FOOTPRINT,ST1,ST2
Anoplopoma fimbria,20510,20510,1982,bs_slope,IID,off
Atheresthes evermanni,10112,10112,1992,bs_all,AR1,AR1
Atheresthes stomias,10110,10110,1992,bs_all,AR1,AR1
Arctoraja parmifera,471,471,1999,bs_all,AR1,AR1
Bathyraja aleutica,472,472,1999,bs_slope,off,off
Boreogadus saida,21725,21725,1982,bs_shelf,AR1,AR1
Chionoecetes bairdi,68560,68560,1982,bs_all,AR1,AR1
Chionoecetes opilio,68580,68580,1982,bs_all,AR1,AR1
Eleginus gracilis,21735,21735,1982,bs_shelf,AR1,AR1
Gadus chalcogrammus,21740,21740,1982,bs_all,AR1,AR1
Gadus macrocephalus,21720,21720,1982,bs_all,AR1,AR1
Glyptocephalus zachirus,10200,10200,1982,bs_all,AR1,AR1
Hippoglossoides sp,10129,10129,1982,bs_all,AR1,AR1
Hippoglossoides elassodon,10130,10129,1982,bs_all,AR1,AR1
Hippoglossoides robustus,10140,10129,1982,bs_all,AR1,AR1
Hippoglossus stenolepis,10120,10120,1982,bs_all,AR1,AR1
Lepidopsetta bilineata,10262,10260,1982,bs_all,AR1,AR1
Lepidopsetta polyxystra,10261,10260,1982,bs_all,AR1,AR1
Lepidopsetta sp,10260,10260,1982,bs_all,AR1,AR1
Limanda aspera,10210,10210,1982,bs_shelf,AR1,AR1
Paralithodes camtschaticus,69322,69322,1982,bs_shelf,AR1,AR1
Paralithodes platypus,69323,69323,1982,bs_shelf,AR1,AR1
Pleuronectes quadrituberculatus,10285,10285,1982,bs_shelf,AR1,AR1
REBS rockfishes,30050,30050,1982,bs_slope,off,off
Reinhardtius hippoglossoides,10115,10115,1982,bs_all,AR1,AR1
Sebastes aleutianus,30051,30050,1982,bs_slope,off,off
Sebastes alutus,30060,30060,1982,bs_slope,off,off
Sebastes borealis,30576,30576,1982,bs_slope,off,IID
Sebastes melanostictus,30052,30050,1982,bs_slope,off,off
Sebastolobus alascanus,30020,30020,1982,bs_slope,off,off
